초성,ᄀ,ᄁ,ᄏ,ᄂ,ᄃ,ᄄ,ᄐ,ᄅ,ᄆ,ᄇ,ᄈ,ᄑ,ᄉ,ᄊ,ᄋ,ᄌ,ᄍ,ᄎ,ᄒ
ᄀ,0.0,0.2,0.2,0.8,0.5,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8
ᄁ,0.2,0.0,0.2,0.8,0.5,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.8,0.8,0.5,0.8,0.8,0.8,0.8
ᄏ,0.2,0.2,0.0,0.8,0.5,0.5,0.5,0.8,0.8,0.5,0.5,0.5,0.8,0.8,0.5,0.8,0.8,0.8,0.8
ᄂ,0.8,0.8,0.8,0.0,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.5,0.5,0.5,0.8,0.8,0.8,0.8
ᄃ,0.5,0.5,0.5,0.5,0.0,0.2,0.2,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8
ᄄ,0.5,0.5,0.5,0.5,0.2,0.0,0.2,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8
ᄐ,0.5,0.5,0.5,0.5,0.2,0.2,0.0,0.5,0.8,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.8
ᄅ,0.8,0.8,0.8,0.5,0.5,0.5,0.5,0.0,0.8,0.8,0.8,0.8,0.5,0.5,0.8,0.8,0.8,0.8,0.8
ᄆ,0.8,0.8,0.8,0.5,0.8,0.8,0.8,0.8,0.0,0.5,0.5,0.5,0.8,0.8,0.5,0.8,0.8,0.8,0.8
ᄇ,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.8,0.5,0.0,0.2,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8
ᄈ,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.8,0.5,0.2,0.0,0.2,0.8,0.8,0.8,0.8,0.8,0.8,0.8
ᄑ,0.5,0.5,0.5,0.8,0.5,0.5,0.5,0.8,0.5,0.2,0.2,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8
ᄉ,0.8,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.0,0.2,0.8,0.8,0.8,0.8,0.5
ᄊ,0.8,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.2,0.0,0.8,0.8,0.8,0.8,0.5
ᄋ,0.8,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.5,0.8,0.8,0.8,0.8,0.8,0.0,0.8,0.8,0.8,0.2
ᄌ,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.2,0.2,0.8
ᄍ,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.0,0.2,0.8
ᄎ,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.2,0.2,0.0,0.8
ᄒ,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.5,0.2,0.8,0.8,0.8,0.0
